titulo,subtitulo,autor,editor,isbn,descricao,idioma,ano_publicacao,paginas,preco,estoque,desconto,disponivel,dimensoes,peso
Dom Casmurro,Romance realista sobre dúvida e ciúme,Joaquim Maria Machado de Assis,Companhia das Letras,9780000000001,Romance realista sobre dúvida e ciúme — edição em capa comum.,Português,1899,288,72.86,8,10.00,True,21x14x3.3 cm,721.36
"Gabriela, Cravo e Canela",Amor e modernização em Ilhéus,Jorge Amado,Companhia das Letras,9780000000002,Amor e modernização em Ilhéus — edição em capa comum.,Português,1958,368,91.81,16,20.00,False,20x13x1.5 cm,366.13
A Hora da Estrela,A vida de Macabéa no Rio de Janeiro,Clarice Lispector,Rocco,9780000000003,A vida de Macabéa no Rio de Janeiro — edição em capa comum.,Português,1977,96,70.05,76,5.00,False,23x14x2.8 cm,827.54
O Alquimista,Uma fábula sobre seguir seus sonhos,Paulo Coelho,HarperCollins Brasil,9780000000004,Uma fábula sobre seguir seus sonhos — edição em capa comum.,Português,1988,208,25.39,108,5.00,False,22x15x1.6 cm,945.77
Reinações de Narizinho,Aventuras do Sítio do Picapau Amarelo,José Bento Monteiro Lobato,Companhia das Letrinhas,9780000000005,Aventuras do Sítio do Picapau Amarelo — edição em capa comum.,Português,1931,352,50.14,16,15.00,True,22x15x2.9 cm,825.70
Vidas Secas,A saga de uma família sertaneja,Graciliano Ramos,Record,9780000000006,A saga de uma família sertaneja — edição em capa comum.,Português,1938,176,79.63,73,0.00,False,24x13x2.0 cm,682.91
Iracema,Lenda de amor e formação do Ceará,José de Alencar,José Olympio,9780000000007,Lenda de amor e formação do Ceará — edição em capa comum.,Português,1865,176,91.31,51,20.00,True,20x13x3.1 cm,798.45
Grande Sertão: Veredas,Riobaldo e Diadorim pelos sertões do Brasil,João Guimarães Rosa,Nova Fronteira,9780000000008,Riobaldo e Diadorim pelos sertões do Brasil — edição em capa comum.,Português,1956,608,98.79,114,5.00,True,22x16x2.5 cm,847.29
O Tempo e o Vento,A epopeia da família Terra Cambará,Érico Veríssimo,Companhia das Letras,9780000000009,A epopeia da família Terra Cambará — edição em capa comum.,Português,1949,632,37.10,50,5.00,True,24x13x3.0 cm,607.31
As Meninas,Três jovens e a ditadura no Brasil,Lygia Fagundes Telles,Companhia das Letras,9780000000010,Três jovens e a ditadura no Brasil — edição em capa comum.,Português,1973,280,43.26,64,15.00,True,22x14x3.6 cm,800.80
Romanceiro da Inconfidência,Poemas sobre a Inconfidência Mineira,Cecília Meireles,Global,9780000000011,Poemas sobre a Inconfidência Mineira — edição em capa comum.,Português,1953,248,42.08,9,10.00,False,20x15x1.8 cm,934.33
Auto da Compadecida,Picaresca nordestina em três atos,Ariano Suassuna,Nova Fronteira,9780000000012,Picaresca nordestina em três atos — edição em capa comum.,Português,1955,176,90.63,45,5.00,False,23x16x1.6 cm,291.70
Macunaíma,O herói sem nenhum caráter,Mário de Andrade,Companhia das Letras,9780000000013,O herói sem nenhum caráter — edição em capa comum.,Português,1928,240,80.77,73,10.00,False,22x16x1.8 cm,978.03
Serafim Ponte Grande,Sátira mordaz da sociedade brasileira,Oswald de Andrade,Companhia das Letras,9780000000014,Sátira mordaz da sociedade brasileira — edição em capa comum.,Português,1933,192,63.11,16,0.00,True,21x14x3.4 cm,517.73
"Marcelo, Marmelo, Martelo",Clássico da literatura infantil brasileira,Ruth Rocha,Salamandra,9780000000015,Clássico da literatura infantil brasileira — edição em capa comum.,Português,1976,96,29.66,53,20.00,False,24x15x3.6 cm,189.18
O Menino Maluquinho,As travessuras de um garoto genial,Ziraldo Alves Pinto,Melhoramentos,9780000000016,As travessuras de um garoto genial — edição em capa comum.,Português,1980,128,78.95,92,20.00,True,20x15x2.0 cm,306.53
